# Titles of the Catalog of Hittite Texts (CTH), one line per catalogue entry.
# S. Košak – G.G.W. Müller – S. Görke – Ch.W. Steitler, 2001–2026, Hethitologie-Portal Mainz.
# Licensed CC BY-SA 4.0, https://creativecommons.org/licenses/by-sa/4.0/ – see CTH-TITLES-TERMS.txt.
# Written by `cargo run --locked --release -p aruna --example cth_titles`; do not edit by hand.
# source: https://hethport.net/CTH/index.php?lang=EN
# fetched: 2026-09-22 04:54:05 UTC
# sha256: 31310a4e8dcd81140fa33f3a89bb820d05d48ca3c591c5fd4e74ef453ff2db86
# entries: 837
CTH 158	title	Marriage letters from Ramses II to Puduḫepa
CTH 159	title	Marriage letters from Ramses II to Ḫattušili III and Puduḫepa
CTH 160	title	Letter from Puduḫepa to Ramses III
CTH 161	title	Letter from Ramses II to Ḫattušili III
CTH 162	title	Letters from Ramses II to Ḫattušili III and Puduḫepa
CTH 163	title	Letters from Ramses II to Ḫattušili III
CTH 164	title	Letters from Ramses II to Puduḫepa
CTH 165	title	Letters from Ramses II to unknown addressees
CTH 166	title	Letter from Ramses II to Kupanta-Kurunta of Mira
CTH 167	title	Letter from Naptera, wife of Ramses II, to Puduḫepa
CTH 168	title	Letters from the queen mother Tūya to Ḫattušili III
CTH 169	title	Letters from prince Šutaḫapšap, son of Ramses II, to Ḫattušili III
CTH 170	title	Fragments of Egyptian-Hittite correspondence
CTH 171	title	Letter from Muwatalli II to Adad-nīrāri I
CTH 172	title	Letter from Ḫattušili III to Kadašman-Enlil II
CTH 173	title	Letter from Ḫattušili III to Adad-nīrāri I
CTH 174	title	Letter from Kadašman-Turgu to Ḫattušili III
CTH 175	title	Letter from Šalmaneser I? of Assyria to a Hittite King
CTH 176	title	Letter from Puduḫepa to Ramses II
CTH 177	title	Letter of Tutḫaliya IV to Tukultī-Ninurta I of Assyria
CTH 178	title	Letters of Tutḫaliya IV to Baba-aḫ-iddina and other Assyrian addressees
CTH 179	title	Letters to a king of Ḫanigalbat
CTH 180	title	Letter from Puduḫepa to Tattamaru
CTH 181	title	Letter from a Hittite king to the king of Aḫḫiyawa (Tawagalawa Letter)
CTH 182	title	Milawata letter
CTH 183	title	Letter from a king of Aḫḫiyawa to a Hittite king
CTH 184	title	Letter from a king to Pirwannu
CTH 185	title	Letter of Ḫattušili III to Zuwa
CTH 186	title	Royal letters to vassals
CTH 187	title	Fragments of royal letters
CTH 188	title	Letter to the king or queen
CTH 189	title	Letter from Puduḫepa to Niqmaddu III of Ugarit
CTH 190	title	Correspondence of dignitaries
CTH 191	title	Letter from Manapa-Tarḫunta to the Hittite king
CTH 192	title	Letter from Tutḫaliya to a Queen
CTH 193	title	Letter from Bentešina of Amurru to Ḫattušili III
CTH 194	title	Letter from a Muwatalli to the king
CTH 195	title	Letter from three augurs to the queen
CTH 196	title	Letter from Lupakki to the king of Karkamiš
CTH 197	title	Letter from Maša to his Lord
